Cost per person,Currency,Price rating,Country Code,Cost_USD
150,INR,1,1,2.008312
50,INR,1,1,0.66943735
50,INR,1,1,0.66943735
200,INR,1,1,2.6777494
150,INR,1,1,2.008312
150,INR,1,1,2.008312
175,INR,1,1,2.3430307
150,INR,1,1,2.008312
100,INR,1,1,1.3388747
150,INR,1,1,2.008312
200,INR,1,1,2.6777494
300,INR,2,1,4.016624
250,INR,2,1,3.3471868
350,INR,2,1,4.6860614
550,INR,3,1,7.363811
300,INR,2,1,4.016624
450,INR,2,1,6.024936
150,INR,1,1,2.008312
100,INR,1,1,1.3388747
250,INR,2,1,3.3471868
250,INR,2,1,3.3471868
800,INR,3,1,10.710998
650,INR,3,1,8.702685
200,INR,1,1,2.6777494
100,INR,1,1,1.3388747
400,INR,2,1,5.355499
500,INR,3,1,6.6943736
100,INR,1,1,1.3388747
125,INR,1,1,1.6735934
100,INR,1,1,1.3388747
600,INR,3,1,8.033248
750,INR,3,1,10.04156
750,INR,3,1,10.04156
50,INR,1,1,0.66943735
750,INR,3,1,10.04156
150,INR,1,1,2.008312
250,INR,2,1,3.3471868
250,INR,2,1,3.3471868
200,INR,1,1,2.6777494
500,INR,3,1,6.6943736
250,INR,2,1,3.3471868
250,INR,2,1,3.3471868
150,INR,1,1,2.008312
225,INR,1,1,3.012468
250,INR,2,1,3.3471868
75,INR,1,1,1.004156
225,INR,1,1,3.012468
350,INR,2,1,4.6860614
200,INR,1,1,2.6777494
350,INR,2,1,4.6860614
250,INR,2,1,3.3471868
400,INR,2,1,5.355499
150,INR,1,1,2.008312
225,INR,1,1,3.012468
350,INR,2,1,4.6860614
100,INR,1,1,1.3388747
750,INR,3,1,10.04156
275,INR,2,1,3.6819055
200,INR,1,1,2.6777494
50,INR,1,1,0.66943735
300,INR,2,1,4.016624
200,INR,1,1,2.6777494
225,INR,1,1,3.012468
300,INR,2,1,4.016624
250,INR,2,1,3.3471868
100,INR,1,1,1.3388747
300,INR,2,1,4.016624
250,INR,2,1,3.3471868
250,INR,2,1,3.3471868
200,INR,1,1,2.6777494
475,INR,2,1,6.359655
300,INR,2,1,4.016624
150,INR,1,1,2.008312
500,INR,3,1,6.6943736
200,INR,1,1,2.6777494
150,INR,1,1,2.008312
450,INR,2,1,6.024936
200,INR,1,1,2.6777494
200,INR,1,1,2.6777494
325,INR,2,1,4.3513427
200,INR,1,1,2.6777494
175,INR,1,1,2.3430307
125,INR,1,1,1.6735934
75,INR,1,1,1.004156
200,INR,1,1,2.6777494
375,INR,2,1,5.02078
200,INR,1,1,2.6777494
200,INR,1,1,2.6777494
75,INR,1,1,1.004156
250,INR,2,1,3.3471868
325,INR,2,1,4.3513427
200,INR,1,1,2.6777494
150,INR,1,1,2.008312
200,INR,1,1,2.6777494
200,INR,1,1,2.6777494
250,INR,2,1,3.3471868
125,INR,1,1,1.6735934
400,INR,2,1,5.355499
150,INR,1,1,2.008312
200,INR,1,1,2.6777494
200,INR,1,1,2.6777494
150,INR,1,1,2.008312
150,INR,1,1,2.008312
150,INR,1,1,2.008312
125,INR,1,1,1.6735934
125,INR,1,1,1.6735934
200,INR,1,1,2.6777494
250,INR,2,1,3.3471868
200,INR,1,1,2.6777494
350,INR,2,1,4.6860614
300,INR,2,1,4.016624
